Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
P1,18/08/18,Boavista,Benfica,0,2,A,0,1,A,4,17,1,8,12,21,2,9,4,1,0,0,7,4,1.5,6.75,3.9,1.5,6,3.7,1.55,6.5,3.8,1.5,8.64,4,1.5,6.5,4,1.5,7,4,1.53,42,8.64,7.08,4.3,3.91,1.55,1.49,40,2.09,1.99,1.87,1.79,23,1,2,1.94,1.97,1.88,7.47,3.9,1.57
P1,18/08/18,Chaves,Portimonense,2,0,H,2,0,H,12,9,5,2,16,21,2,11,3,4,0,0,2.14,3.1,3.6,2.15,3.2,3.4,2.2,3.15,3.25,2.2,3.1,3.2,2.28,3.29,3.44,2.2,3.25,3.25,2.25,3.25,3.4,40,2.29,2.21,3.37,3.2,3.6,3.33,37,2.25,2.13,1.75,1.69,20,-0.25,1.95,1.9,1.97,1.93,2.46,3.31,3.16
P1,18/08/18,Sp Lisbon,Setubal,2,1,H,1,1,D,17,9,5,3,20,29,7,3,2,5,0,0,1.25,5.5,12,1.22,6.5,10,1.25,5.4,10.5,1.25,5.25,11,1.25,6.32,13.8,1.22,5.5,12,1.25,5.75,13,42,1.3,1.25,6.91,5.66,16,11.38,36,1.67,1.62,2.31,2.25,21,-1.5,1.91,1.82,2.07,2.01,1.34,5.3,10.86
P1,19/08/18,Belenenses,Porto,2,3,A,0,1,A,12,16,5,6,17,11,6,5,2,3,0,0,12,4.33,1.33,11.5,5.25,1.26,9,5,1.3,12,4.8,1.28,13.67,5.34,1.29,11,5,1.29,13,5.2,1.29,40,13.67,11.29,5.5,5.04,1.33,1.28,37,1.94,1.84,2,1.93,20,1.5,1.95,1.9,1.98,1.92,15.08,5.88,1.27
P1,19/08/18,Nacional,Moreirense,1,2,A,0,1,A,17,14,8,8,11,24,8,2,0,5,0,0,2.37,3,3.2,2.25,3.1,3.3,2.25,3.1,3.15,2.25,3.1,3.1,2.35,3.3,3.31,2.25,3.3,3.1,2.38,3.2,3.2,39,2.38,2.29,3.35,3.17,3.31,3.17,35,2.23,2.16,1.73,1.67,18,-0.25,2.05,1.98,1.89,1.84,2.39,3.47,3.13
P1,19/08/18,Rio Ave,Maritimo,3,1,H,2,0,H,13,16,5,4,11,23,4,3,1,3,0,0,2.04,3.2,3.75,1.95,3.2,4.1,2.05,3.05,3.85,2.05,3,3.7,2.1,3.07,4.34,2.05,3.2,3.75,2.05,3.2,4,39,2.12,2.05,3.25,3.1,4.34,3.85,34,2.39,2.29,1.66,1.59,18,-0.5,2.1,2.03,1.86,1.81,2.46,3.19,3.28
P1,19/08/18,Santa Clara,Sp Braga,3,3,D,0,3,A,12,14,8,8,13,8,5,4,2,3,0,0,5.5,3.75,1.61,6,3.75,1.57,5.1,3.6,1.65,5.5,3.7,1.57,5.64,4.08,1.63,5.5,4,1.57,6,3.8,1.6,41,6,5.5,4.1,3.81,1.65,1.6,37,2.02,1.94,1.9,1.83,22,1,1.82,1.76,2.15,2.08,5.27,3.7,1.76
P1,20/08/18,Guimaraes,Feirense,0,1,A,0,0,D,10,7,3,4,17,21,8,5,1,3,0,0,1.64,3.6,5.5,1.65,3.6,5.5,1.57,3.7,5.6,1.6,3.5,5.75,1.61,4.03,6.1,1.57,4,5.5,1.62,3.8,6,40,1.67,1.61,4.03,3.7,6.1,5.6,36,2.2,2.15,1.74,1.67,21,-1,2.28,2.15,1.78,1.7,1.67,3.84,5.97
P1,24/08/18,Maritimo,Chaves,2,1,H,0,1,A,13,10,6,3,12,9,5,2,4,4,0,0,2,3.3,3.75,2.1,3.1,3.7,2,3.15,3.75,2.15,3.1,3.4,2.09,3.45,3.85,2.05,3.2,3.6,2.05,3.25,3.9,41,2.15,2.06,3.45,3.22,3.91,3.7,36,2.42,2.34,1.65,1.58,21,-0.25,1.83,1.79,2.13,2.05,1.87,3.56,4.77
P1,25/08/18,Benfica,Sp Lisbon,1,1,D,0,0,D,19,11,10,4,14,17,11,1,4,5,0,0,2,3.2,4,1.83,3.25,4.6,2.1,3.2,3.4,1.95,3.2,3.8,2.01,3.17,4.57,2,3.25,3.8,1.95,3.3,4.2,41,2.1,1.95,3.4,3.21,4.6,4.12,36,2.21,2.13,1.76,1.69,19,-0.5,2.01,1.95,1.94,1.88,1.8,3.61,5.19
P1,25/08/18,Portimonense,Santa Clara,2,2,D,0,1,A,26,9,11,3,13,23,6,5,0,3,0,0,2.1,3.2,3.6,2.1,3.3,3.4,2.1,3.2,3.4,2.1,3.2,3.4,2.21,3.44,3.45,2.15,3.3,3.3,2.15,3.3,3.5,41,2.24,2.14,3.44,3.28,3.6,3.39,36,2.19,2.08,1.78,1.72,20,-0.25,1.92,1.85,2.05,1.98,1.88,3.5,4.78
P1,25/08/18,Porto,Guimaraes,2,3,A,2,0,H,18,8,10,3,16,12,8,3,3,2,0,0,1.14,7.5,17,1.14,7.5,17,1.15,6.7,15.5,1.15,7,19,1.14,8.81,23.95,1.12,8,17,1.15,7.5,20,41,1.18,1.15,8.81,7.41,23.95,17.8,34,1.52,1.49,2.64,2.52,21,-2,1.9,1.84,2.05,1.99,1.18,7.6,22.56
P1,26/08/18,Feirense,Boavista,1,1,D,0,1,A,17,7,5,4,15,25,4,1,2,5,0,1,2.4,3,3.2,2.55,3.25,2.7,2.4,3,3,2.4,2.9,3,2.49,3.18,3.14,2.4,3.1,3,2.5,3,3.13,40,2.55,2.43,3.25,3.06,3.2,3.01,34,2.52,2.44,1.57,1.53,18,0,1.75,1.69,2.31,2.16,2.45,3,3.51
P1,26/08/18,Setubal,Nacional,1,2,A,0,1,A,11,11,4,4,17,26,4,2,4,5,1,0,2,3.2,4,2,3.4,3.6,1.9,3.35,3.9,1.95,3.2,3.8,1.97,3.55,4.09,1.91,3.5,3.8,1.93,3.4,4.2,39,2.05,1.96,3.6,3.35,4.2,3.84,32,2.2,2.11,1.75,1.7,18,-0.5,2,1.94,1.95,1.89,1.74,3.8,5.29
P1,26/08/18,Sp Braga,Aves,3,1,H,0,0,D,20,8,6,4,12,18,9,1,1,4,0,0,1.3,5.25,9.5,1.3,5.25,9,1.3,5.1,9,1.3,5,9.5,1.3,5.74,11.54,1.29,5.5,9,1.3,5.5,10,40,1.33,1.29,5.75,5.27,11.54,9.47,33,1.67,1.63,2.32,2.22,20,-1.5,1.97,1.92,1.96,1.91,1.39,5.01,9.62
P1,26/08/18,Tondela,Rio Ave,1,1,D,0,1,A,12,14,5,4,23,6,3,7,2,2,1,0,2.2,3,3.6,2.25,3.2,3.2,2.2,3.15,3.25,2.3,3,3.1,2.27,3.35,3.42,2.25,3.3,3.1,2.3,3.2,3.3,41,2.34,2.25,3.35,3.16,3.6,3.24,35,2.26,2.21,1.68,1.63,18,0,1.73,1.63,2.42,2.28,2.38,3.19,3.46
P1,27/08/18,Moreirense,Belenenses,1,1,D,0,0,D,17,9,7,3,22,11,8,1,2,2,0,0,2.14,3.1,3.6,2.2,3.2,3.25,2.1,3.1,3.45,2.15,3,3.4,2.21,3.32,3.59,2.15,3.3,3.3,2.2,3.2,3.6,41,2.27,2.17,3.32,3.16,3.62,3.39,35,2.38,2.3,1.63,1.59,19,-0.25,1.93,1.86,2.03,1.96,2.37,3.05,3.61
P1,31/08/18,Chaves,Sp Braga,0,1,A,0,1,A,17,9,2,3,19,22,9,4,2,5,0,0,5,3.75,1.66,4.25,3.9,1.72,4.35,3.4,1.8,4.4,3.6,1.73,4.68,4.06,1.76,4.5,4,1.7,4.75,3.8,1.73,41,5,4.47,4.06,3.77,1.8,1.74,37,1.83,1.75,2.11,2.04,21,1,1.68,1.61,2.45,2.31,5.17,3.81,1.75
P1,31/08/18,Guimaraes,Tondela,1,0,H,1,0,H,6,9,2,3,18,17,2,10,2,1,0,1,1.61,3.6,6,1.65,3.6,5.5,1.8,3.4,4.35,1.67,3.5,5.2,1.69,3.84,5.74,1.67,3.8,5,1.67,3.75,5.5,41,1.8,1.66,3.95,3.69,6,5.32,37,2.17,2.07,1.79,1.73,21,-1,2.5,2.23,1.77,1.66,1.94,3.3,4.83
P1,01/09/18,Belenenses,Setubal,0,0,D,0,0,D,8,6,4,2,20,13,2,5,0,1,0,0,2.4,3.1,3.1,2.2,3.25,3.25,2.3,3.1,3.1,2.3,3.1,3.1,2.35,3.29,3.3,2.3,3.3,3.1,2.38,3.2,3.13,39,2.4,2.31,3.4,3.2,3.33,3.15,36,2.23,2.15,1.74,1.68,19,0,1.7,1.64,2.37,2.26,2.33,3.33,3.38
P1,01/09/18,Santa Clara,Boavista,4,2,H,1,1,D,11,15,5,6,22,19,9,6,4,3,0,0,2.37,3,3.1,2.35,3.2,3,2.5,3.1,2.8,2.3,3,3.1,2.36,3.21,3.36,2.3,3.2,3.2,2.4,3.1,3.25,40,2.5,2.34,3.23,3.1,3.36,3.17,34,2.5,2.39,1.6,1.55,19,-0.25,2.07,2,1.88,1.83,2.32,3.14,3.63
P1,01/09/18,Sp Lisbon,Feirense,1,0,H,0,0,D,26,6,12,2,21,15,9,0,4,6,0,0,1.3,5.25,9.5,1.3,5.5,8.5,1.3,5,9,1.3,4.8,10,1.29,5.74,12.22,1.29,5.8,9,1.3,5.25,11,41,1.34,1.3,5.8,5.2,12.22,9.9,37,1.8,1.73,2.17,2.07,20,-1.5,2.02,1.96,1.91,1.87,1.29,5.7,13.62
P1,02/09/18,Aves,Maritimo,0,1,A,0,1,A,12,16,2,3,22,15,4,4,2,3,0,0,2.4,3,3.2,2.35,3.2,3,2.4,3.05,3,2.3,3,3.1,2.39,3.22,3.31,2.3,3.2,3.2,2.4,3.13,3.2,33,2.42,2.35,3.22,3.09,3.31,3.1,27,2.45,2.34,1.59,1.57,16,-0.25,2.07,2.01,1.88,1.83,2.52,3.2,3.17
P1,02/09/18,Nacional,Benfica,0,4,A,0,2,A,5,16,2,7,7,15,2,5,1,3,0,0,8.5,4.75,1.36,9,4.75,1.34,7.5,4.3,1.4,8,4.6,1.36,8.98,4.97,1.39,8,4.75,1.36,9,4.8,1.36,37,9,8.1,4.99,4.69,1.4,1.36,31,1.7,1.66,2.25,2.17,19,1.25,2.08,2.01,1.87,1.81,9.66,5.19,1.37
P1,02/09/18,Porto,Moreirense,3,0,H,2,0,H,15,7,5,3,16,11,11,4,2,1,0,0,1.14,7.5,21,1.13,7.75,16.5,1.17,6.5,14,1.14,7.5,21,1.14,8.68,23.16,1.14,8.5,15,1.14,8,21,37,1.17,1.14,8.68,7.69,23.16,18.33,29,1.48,1.43,2.8,2.71,18,-2,1.79,1.73,2.19,2.11,1.13,10.08,25.67
P1,02/09/18,Rio Ave,Portimonense,2,1,H,0,1,A,22,11,5,4,13,16,8,3,3,2,0,2,2.04,3.3,3.6,2.1,3.25,3.5,2.1,3.15,3.5,2.1,3.2,3.4,2.16,3.41,3.62,2.05,3.4,3.6,2.1,3.3,3.7,38,2.2,2.1,3.41,3.29,3.7,3.45,33,2.13,2.02,1.84,1.76,17,-0.25,1.85,1.8,2.12,2.04,2.39,3.56,3.06
