Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC2,18/08/18,Dumbarton,Arbroath,1,1,D,0,1,A,K Graham,17,12,6,1,4,14,1,4,2,2,0,0,2.4,3.4,2.8,2.4,3.3,2.55,2.45,3.3,2.55,2.35,3.3,2.65,2.62,3.31,2.76,2.4,3.6,2.75,2.4,3.6,2.8,34,2.62,2.42,3.65,3.35,2.9,2.66,27,1.67,1.62,2.31,2.17,15,-0.25,2.19,2.1,1.76,1.7,3.08,4.03,2.14
SC2,18/08/18,Forfar,Stranraer,0,0,D,0,0,D,J McKendrick,10,15,2,4,8,5,1,7,0,1,0,0,2.1,3.5,3.3,2.1,3.3,3,2.05,3.7,2.95,2.05,3.5,3,2.1,4.15,3.02,2.15,3.6,3.2,2.15,3.8,3.13,39,2.25,2.07,4.15,3.67,3.3,3,33,1.6,1.53,2.45,2.33,18,-0.25,1.89,1.83,2.01,1.94,2,4.09,3.37
SC2,18/08/18,Montrose,Brechin,2,1,H,2,1,H,G Duncan,9,14,6,4,11,7,2,4,2,1,0,0,2.37,3.6,2.7,2.35,3.2,2.7,2.3,3.3,2.8,2.3,3.2,2.8,2.32,3.68,2.9,2.5,3.3,2.8,2.5,3.4,2.8,39,2.5,2.33,3.68,3.36,2.92,2.77,36,2.01,1.9,1.91,1.83,16,0,1.82,1.74,2.16,2.02,2.34,3.4,3.14
SC2,18/08/18,Raith Rvs,East Fife,2,2,D,1,1,D,C Napier,8,15,3,6,16,13,0,7,2,1,0,0,1.6,4,5.25,1.55,3.9,4.75,1.6,3.8,5,1.6,3.75,4.8,1.62,4,5.52,1.67,3.8,5,1.62,4.1,5.4,39,1.67,1.58,4.22,3.88,5.52,5,33,1.73,1.66,2.2,2.1,16,-1,2.13,2.03,1.78,1.73,1.68,3.93,5.27
SC2,18/08/18,Stenhousemuir,Airdrie Utd,1,2,A,1,1,D,D Lowe,21,12,8,3,10,7,12,4,1,0,0,1,2.8,3.5,2.37,2.75,3.4,2.2,2.6,3.35,2.4,2.6,3.3,2.4,2.74,3.49,2.53,2.75,3.6,2.4,2.8,3.6,2.4,39,2.8,2.67,3.65,3.39,2.53,2.38,33,1.71,1.65,2.25,2.12,16,0,2.08,1.98,1.86,1.78,2.79,3.94,2.34
SC2,25/08/18,Airdrie Utd,Raith Rvs,3,4,A,2,0,H,A Newlands,15,10,4,7,12,7,4,5,2,1,0,1,3,3.5,2.25,2.75,3.4,2.2,2.85,3.35,2.2,2.87,3.3,2.2,3.02,3.5,2.33,2.9,3.6,2.3,3,3.6,2.3,38,3.09,2.86,3.6,3.42,2.33,2.23,33,1.73,1.66,2.21,2.09,16,0.25,1.89,1.82,2.02,1.94,3.32,3.87,2.08
SC2,25/08/18,Brechin,Dumbarton,3,2,H,0,1,A,M Roncone,12,9,4,6,10,14,5,5,1,4,0,0,3.6,3.6,1.95,3.2,3.5,1.95,3.5,3.45,1.9,3.5,3.3,1.95,3.65,3.78,1.97,3.5,3.8,1.95,3.5,3.6,2.05,38,3.8,3.45,3.8,3.51,2.05,1.94,35,1.89,1.81,2,1.91,14,0.25,2.17,2.06,1.77,1.71,3.15,3.89,2.15
SC2,25/08/18,East Fife,Arbroath,0,3,A,0,2,A,S Millar,12,11,1,6,10,8,9,5,0,1,0,0,3.6,4,1.85,3.5,3.5,1.85,3.6,3.7,1.8,3.6,3.6,1.83,3.82,3.98,1.87,3.7,4,1.85,3.8,4,1.87,38,3.82,3.6,4,3.76,1.91,1.83,33,1.6,1.53,2.47,2.33,15,0.5,2.04,1.96,1.88,1.81,4.35,4.34,1.72
SC2,25/08/18,Forfar,Stenhousemuir,2,0,H,2,0,H,G Irvine,14,9,6,3,5,10,8,5,0,1,0,0,2.04,3.6,3.4,2,3.6,3,2,3.45,3.2,2,3.4,3.2,2.1,3.65,3.37,2.05,3.8,3.25,2.05,3.7,3.4,38,2.1,2.02,3.8,3.53,3.4,3.21,32,1.7,1.66,2.21,2.1,13,-0.5,2.09,1.99,1.81,1.76,2.32,3.59,3.02
SC2,25/08/18,Stranraer,Montrose,2,0,H,2,0,H,A Muir,4,14,4,6,17,4,5,5,1,1,0,0,2.3,3.6,2.8,2.4,3.4,2.5,2.25,3.4,2.75,2.3,3.4,2.75,2.35,3.64,2.89,2.3,3.7,2.8,2.4,3.7,2.75,38,2.4,2.29,3.7,3.48,2.89,2.73,33,1.7,1.63,2.27,2.15,16,0,1.81,1.73,2.14,2.05,2.67,3.85,2.47
SC2,01/09/18,Airdrie Utd,Stranraer,2,0,H,0,0,D,G Aitken,20,8,8,4,9,9,7,3,2,2,0,1,1.85,3.8,3.8,1.8,3.8,3.4,1.75,3.75,3.8,1.8,3.6,3.75,1.81,4.01,4.11,1.83,4,3.8,1.85,3.9,4,37,1.85,1.8,4.01,3.75,4.11,3.75,30,1.6,1.57,2.37,2.27,16,-0.5,1.87,1.81,2.05,1.97,1.8,4.07,4.18
SC2,01/09/18,Arbroath,Brechin,2,2,D,2,0,H,G Ross,12,9,5,5,13,13,9,4,1,2,0,0,1.44,4.5,6.5,1.48,4.1,5.25,1.45,4.4,5.5,1.44,4.2,6,1.53,4.84,5.36,1.44,5,6,1.45,4.8,6.5,36,1.53,1.45,5,4.5,6.5,5.59,29,1.57,1.54,2.47,2.34,15,-1.25,2.06,1.98,1.84,1.79,1.45,5.07,6.58
SC2,01/09/18,Montrose,East Fife,0,2,A,0,2,A,L Wilson,15,13,5,6,8,10,5,6,2,2,0,0,2.25,3.6,2.9,2.2,3.3,2.8,2.3,3.25,2.8,2.35,3.2,2.75,2.41,3.32,3.02,2.3,3.7,2.8,2.38,3.6,2.88,37,2.41,2.3,3.7,3.32,3.02,2.82,29,1.88,1.8,2.05,1.92,17,-0.25,2.11,2.02,1.82,1.76,2.38,3.37,3.09
SC2,01/09/18,Raith Rvs,Forfar,4,0,H,1,0,H,E Anderson,15,10,6,2,4,7,5,1,2,1,0,0,1.7,4.2,4.2,1.7,3.9,3.8,1.7,3.9,3.85,1.73,3.7,4,1.81,4.26,3.86,1.75,4.33,3.9,1.75,4.1,4.3,37,1.83,1.73,4.33,3.96,4.3,3.87,30,1.55,1.51,2.5,2.41,16,-0.75,2.03,1.94,1.89,1.83,2.03,3.74,3.57
SC2,01/09/18,Stenhousemuir,Dumbarton,2,1,H,1,1,D,A Newlands,15,7,5,5,15,11,3,9,2,1,0,0,3.2,3.75,2.04,3,3.5,2.05,3.1,3.6,2,3.1,3.4,2.05,3.21,4.04,2.05,3.2,3.7,2.1,3.2,3.7,2.15,37,3.21,3.08,4.04,3.61,2.15,2.05,30,1.67,1.63,2.24,2.15,17,0.25,2.05,1.95,1.89,1.82,2.95,4.01,2.21
